Symbol;Name;Stock Exchange;Sec Type;Date of first trade ;Date (RT Last);Avg Daily Price (LOCAL);Curncy Iso;Market Value in millions ;FR RBICS Name Sector;ISIN;Average Daily Volume;Trading Value Local;Trading Value EUR;Filter
722732;Stavrullen Ab Ser'B'Npv;OMX NORDIC STOCKHOLM;SHARE;18-02-2002;06-10-2011;2,6;SEK;;Investment Services;SE0000856999;66,9;170,6079648;15,09804998;FJERN
723484;El&Industrimontage Npv;OMX NORDIC STOCKHOLM;SHARE;23-06-1999;24-08-2007;;SEK;;Industrial Services;SE0000718751;;;;FJERN
723786;Andersen & Martini Holding A/S Class B;OMX NORDIC COPENHAGEN;SHARE;01-11-1988;14-10-2020;36,9;DKK;;Miscellaneous Retail;DK0010283597;540,4;19916,8161;2673,398134;FJERN
724037;Billerud AB;OMX NORDIC STOCKHOLM;SHARE;20-11-2001;13-05-2026;95,1;SEK;23.353,4;Manufactured Products;SE0000862997;580.943,4;55226123,67;4887267,582;BEHOLD
732789;Vinderup Bank A/S;OMX NORDIC COPENHAGEN;SHARE;21-09-1990;23-11-2012;68,7;DKK;;Banking;DK0060136513;252,9;17364,23527;2330,769835;FJERN
733268;Alfa Laval AB;OMX NORDIC STOCKHOLM;SHARE;17-05-2002;13-05-2026;224,0;SEK;192.486,1;Industrial Manufacturing;SE0000695876;1.250.584,0;280147573,8;24791820,69;BEHOLD
735242;Axlon Group AB;OMX NORDIC STOCKHOLM;SHARE;27-05-2004;06-07-2012;39,0;SEK;;Industrial Manufacturing;SE0005127610;606,9;23651,88076;2093,086793;FJERN
735422;Hq Fonder Sverige Ord Sek1.00;OMX NORDIC STOCKHOLM;SHARE;14-05-2001;24-10-2005;;SEK;;Investment Services;SE0000799827;;;;FJERN
737143;Intrum AB;OMX NORDIC STOCKHOLM;SHARE;07-06-2002;13-05-2026;166,2;SEK;5.258,5;Specialty Finance and Services;SE0000936478;466.695,3;77563685,46;6864042,961;BEHOLD
737353;Vivesto AB;OMX NORDIC STOCKHOLM;SHARE;28-09-2007;13-05-2026;5,7;SEK;72,6;Biopharmaceuticals;SE0000722365;1.948.704,0;11144645,97;986251,8558;BEHOLD
737818;Systemhus AB;OMX NORDIC STOCKHOLM;SHARE;04-11-2008;15-08-2011;2,0;SEK;;Investment Services;SE0000849531;11.948,7;23793,34674;2105,605906;FJERN
738518;SinterCast AB;OMX NORDIC STOCKHOLM;SHARE;17-11-1993;13-05-2026;89,7;SEK;746,5;Industrial Manufacturing;SE0000950982;8.476,5;760665,1;67315,49558;FJERN
738909;Ballingslov Int Ab Npv;OMX NORDIC STOCKHOLM;SHARE;20-06-2002;12-12-2008;24,5;SEK;;Consumer Goods;SE0000524191;0,0;0;0;FJERN
743401;Dan-Ejendomme Hldg Dkk10;OMX NORDIC COPENHAGEN;SHARE;17-03-2000;30-04-2012;346,1;DKK;;Business Services;DK0010292663;67,6;23395,82206;3140,3788;FJERN
744450;Stille AB;OMX NORDIC STOCKHOLM;SHARE;14-03-2001;13-05-2026;72,7;SEK;1.761,1;Healthcare Equipment;SE0000998650;4.242,8;308252,9935;27279,02598;FJERN
744914;Song Networks Holding;OMX NORDIC STOCKHOLM;SHARE;16-03-2000;07-01-2005;;SEK;;Telecommunications;SE0000434102;;;;FJERN
745443;Skjern Bank A/S;OMX NORDIC COPENHAGEN;SHARE;25-11-1987;13-05-2026;84,0;DKK;2.703,6;Banking;DK0010295922;4.993,8;419596,7191;56321,70727;FJERN
755892;BioPhausia AB;OMX NORDIC STOCKHOLM;SHARE;16-03-1998;18-07-2011;1,3;SEK;;Healthcare Services;SE0001048984;1.242.574,0;1607217,281;142231,6178;BEHOLD
756771;Mandator AB;OMX NORDIC STOCKHOLM;SHARE;06-01-1997;21-12-2007;3,0;SEK;;Software and Consulting;SE0002760561;0,0;0;0;FJERN
756802;Entraction Holding AB Class B;OMX NORDIC STOCKHOLM;SHARE;12-03-1998;29-07-2011;42,9;SEK;;Software and Consulting;SE0000355729;61.706,1;2649946,867;234508,5723;BEHOLD
757244;Digital Illusions Ser'A'Npv;OMX NORDIC STOCKHOLM;SHARE;17-03-1998;28-09-2006;;SEK;;Software and Consulting;SE0001058066;;;;FJERN
759123;RaySearch Laboratories AB Class B;OMX NORDIC STOCKHOLM;SHARE;06-03-1992;13-05-2026;93,9;SEK;7.816,5;Healthcare Services;SE0000135485;69.473,5;6520445,556;577030,5802;BEHOLD
759301;Avensia AB;OMX NORDIC STOCKHOLM;SHARE;15-06-2000;13-05-2026;7,4;SEK;314,1;Software and Consulting;SE0000671745;23.715,3;176291,1514;15600,98685;FJERN
762141;A/S Ringkjoebing Bank;OMX NORDIC COPENHAGEN;SHARE;30-03-1988;23-12-2008;115,0;DKK;;Banking;DK0010300193;0,0;0;0;FJERN
763361;Aspiro AB;OMX NORDIC STOCKHOLM;SHARE;09-05-2000;02-04-2015;1,0;SEK;;Hardware;SE0000500258;234.866,8;240303,9664;21265,83774;FJERN
765723;Alm. Brand Formue A/S Class B;OMX NORDIC COPENHAGEN;SHARE;23-10-2003;04-09-2014;87,9;DKK;;Financially Operative Institutions;DK0010300276;1.678,3;147446,4594;19791,47105;FJERN
769833;Brinova Fastighete Ser'B'Npv;OMX NORDIC STOCKHOLM;SHARE;20-11-2003;21-09-2012;89,2;SEK;;Real Estate;SE0001105487;6.347,3;565982,0489;50086,90698;FJERN
769835;Getinge AB Class B;OMX NORDIC STOCKHOLM;SHARE;21-05-1993;13-05-2026;169,9;SEK;59.594,5;Healthcare Equipment;SE0000202624;915.685,4;155541160,7;13764704,48;BEHOLD
771853;DK Company A/S;OMX NORDIC COPENHAGEN;SHARE;29-03-1988;16-03-2016;0,6;DKK;;Consumer Goods;DK0010302488;42.508,2;25079,91382;3366,431385;FJERN
774332;Active Biotech AB;OMX NORDIC STOCKHOLM;SHARE;26-06-1990;13-05-2026;4,5;SEK;121,3;Biopharmaceuticals;SE0001137985;2.708.700,0;12314646,78;1089791,75;BEHOLD
775116;European Retail;OMX NORDIC COPENHAGEN;SHARE;10-02-2004;01-06-2016;17,9;DKK;;Real Estate;DK0010302561;746,9;13341,43614;1790,796797;FJERN
B00HQS;Vestjysk Bank A/S;OMX NORDIC COPENHAGEN;SHARE;19-11-1987;09-12-2025;4,6;DKK;5.240,4;Banking;DK0010304500;341.029,1;1584960,366;212746,3578;BEHOLD
