Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
12/28/07,"972,74",,"0,19","0,02","1.263,41","42,83",,"972,74","972,74"
12/31/07,"967,93",,"-4,81","-0,49","1.257,16","42,12",,"967,93","967,93"
01/02/08,"959,04",,"-8,89","-0,92","1.245,96","40,86",,"959,04","959,04"
01/03/08,"961,99",,"2,95","0,31","1.249,80","41,29",,"961,99","961,99"
01/04/08,"954,46",,"-7,53","-0,78","1.240,01","40,18",,"954,46","954,46"
01/07/08,"966,72",,"12,26","1,28","1.255,94","41,98",,"966,72","966,72"
01/08/08,"962,89",,"-3,83","-0,40","1.252,71","41,62",,"962,89","962,89"
01/09/08,"966,85",,"3,96","0,41","1.257,86","42,20",,"966,85","966,85"
01/10/08,"968,17",,"1,32","0,14","1.259,57","42,39",,"968,17","968,17"
01/11/08,"952,45",,"-15,72","-1,62","1.239,12","40,08",,"952,45","952,45"
01/14/08,"950,14",,"-2,30","-0,24","1.236,13","39,74",,"950,14","950,14"
01/15/08,"938,20",,"-11,94","-1,26","1.220,59","37,99",,"938,20","938,20"
01/16/08,"931,72",,"-6,49","-0,69","1.212,17","37,04",,"931,72","931,72"
01/17/08,"924,14",,"-7,57","-0,81","1.202,32","35,92",,"924,14","924,14"
01/18/08,"912,38",,"-11,77","-1,27","1.187,01","34,19",,"912,38","912,38"
01/22/08,"864,86",,"-47,51","-5,21","1.125,20","27,20",,"864,86","864,86"
01/23/08,"852,56",,"-12,30","-1,42","1.109,19","25,39",,"852,56","852,56"
01/24/08,"868,48",,"15,91","1,87","1.129,90","27,73",,"868,48","868,48"
01/25/08,"871,11",,"2,63","0,30","1.133,32","28,12",,"871,11","871,11"
01/28/08,"872,02",,"0,92","0,11","1.134,51","28,26",,"872,02","872,02"
01/29/08,"884,03",,"12,00","1,38","1.150,18","30,03",,"884,03","884,03"
01/30/08,"879,16",,"-4,87","-0,55","1.143,92","29,32",,"879,16","879,16"
01/31/08,"888,49",,"9,33","1,06","1.156,19","30,71",,"888,49","888,49"
02/01/08,"897,32",,"8,83","0,99","1.167,69","32,01",,"897,32","897,32"
02/04/08,"900,75",,"3,43","0,38","1.172,16","32,51",,"900,75","900,75"
02/05/08,"877,71",,"-23,05","-2,56","1.142,25","29,13",,"877,71","877,71"
02/06/08,"879,13",,"1,43","0,16","1.144,26","29,36",,"879,13","879,13"
